se_lon,se_lat,re_lon,re_lat,se_busID,re_busID
-76.74038108091446,39.16394683914629,-76.74034707601902,39.163939836800346,422437_17_166237_348,TIEPOINT_31007102024
-76.74401408322383,39.161507836366816,-76.74409908173993,39.1615848320816,31007102513,31007102512
-76.76248808088779,39.14254183191488,-76.76228007944762,39.142501829515226,420532_809_163855_896,31108302054
-76.77566409287591,39.14946183542664,-76.77531508514045,39.14917383310382,31109102014_37293748,31109102516
-76.77599008501906,39.15095283343695,-76.77589908868815,39.15078983280896,31109102523,31109102011
-76.76081408965923,39.14216783356571,-76.76039508635176,39.142069827490886,31108302028,420713_883_163803_97
-76.75124108594059,39.17868283689578,-76.75206608499228,39.17905184223498,30908202509,421422_768_167911_411
-76.75095708102634,39.15231483387816,-76.75099608245965,39.15233083367297,31108202020,31108202021
-76.75171108651338,39.15136182983526,-76.75095708102634,39.15231483387816,31108202022,31108202020
-76.76339009002518,39.14274882930742,-76.76349907957426,39.14231083202068,31108302501,TIEPOINT_31108302005
-76.77766408580483,39.15191082968496,-76.77797109474825,39.15174782812833,31109102512,31109102010
-76.7465940756519,39.15871983467047,-76.74646508576683,39.15895483279392,31007302069,31007302044_5445897
-76.7391800809113,39.17330584042548,-76.73921508120034,39.173701840419,422537_995_167276_625,422534_845_167320_578
-76.76761708832574,39.14406482858846,-76.76723108231349,39.14385983536245,31109402502,420122_41_164001_156
-76.73965608397035,39.16657183727384,-76.73956307377162,39.16683984004645,31007102010,31007102011
-76.73930907581372,39.165802839185226,-76.73738507803013,39.16586983459238,422529_227_166443_654,422695_478_166451_568
-76.7401190733132,39.165197839784064,-76.740044076112,39.16541083583984,422459_418_166376_291,31007102510
-76.08962688261629,39.360486895126265,-76.08962688752823,39.3604548995523,SOURCE_7732-1,31109103502
-76.75762508648911,39.14391282831786,-76.75768108646584,39.14418083051092,420952_804_164009_2,420947_884_164038_939
-76.75124108594059,39.17868283689578,-76.75095408437902,39.179089841477456,30908202509,421518_838_167915_891
-76.08962788131424,39.36039289773129,-76.08970888652425,39.36039289428054,31109103066,5517698-1
-76.77787709405239,39.15251483429533,-76.77778108755737,39.15229083327387,31109102002,419208_115_164934_839
-76.74083108213723,39.16331783274034,-76.7406750797186,39.16373083225881,31007102014,422411_83_166213_296
-76.76203708057884,39.14244283007205,-76.7618500896678,39.142401833643945,420571_826_163845_007,420588_003_163840_498
-76.74706808273397,39.157900834168935,-76.74692008263419,39.15814983512305,421861_122_165564_535,421873_837_165592_213
-76.75788808694494,39.14315683280862,-76.75761008045627,39.14362183256173,420930_291_163925_214,420954_187_163976_899
-76.73905708120733,39.17102284094703,-76.73908207429416,39.17171383529901,422549_348_167023_21,30907302506
-76.77255008437686,39.14735983170934,-76.77283209218399,39.14694883430918,419661_63_164388_544,419637_366_164342_857
-76.76829508827147,39.14882083281567,-76.76658008936207,39.14863483165603,31109202012,420177_331_164531_389
-76.77670508573601,39.15055683203533,-76.77638509396235,39.15020283334291,31109102509,419329_348_164703_337
-76.74670208427678,39.15852483112421,-76.7465940756519,39.15871983467047,421892_563_165633_895,31007302069
-76.73908207429416,39.17171383529901,-76.73913308138644,39.17248084162346,30907302506,422542_318_167185_05
-76.75379808213336,39.148771828544106,-76.75330707682141,39.14938182970444,421282_182_164549_5,31108202503
-76.73922508148516,39.17399784266117,-76.73924107848131,39.17444783841575,422533_887_167353_436,30907302000_15050083
-76.74958108394229,39.17911584228331,-76.74983308286075,39.17877483888447,30908202512,421615_793_167881_186
-76.76627208018549,39.14355682872845,-76.76560608160077,39.1433738273663,420205_399_163967_73,420263_025_163947_562
-76.74222707785819,39.16217083802002,-76.74177008352463,39.162519833655374,422278_191_166039_735,31007102013
-76.74401408322383,39.161507836366816,-76.74332107626496,39.16157983476373,31007102513,422183_827_165973_859
-76.74881608148493,39.154445831893895,-76.74858708368588,39.15472783767056,421711_098_165180_565,421730_805_165211_926
-76.75330707682141,39.14938182970444,-76.7540660788128,39.15007283525984,31108202503,421258_627_164693_867
-76.77418209229342,39.148454834546925,-76.77408709309688,39.14857083544874,31109202505,419528_434_164522_652
-76.75913908696997,39.14526582979383,-76.76028408785683,39.14594183335832,420821_527_164159_055,420722_35_164233_84
-76.75791307820353,39.14134483311908,-76.75780008431808,39.14128483215344,420928_664_163724_052,TIEPOINT_31108302064
-76.74044407650203,39.17181583587139,-76.74174907944453,39.17203183365648,422429_242_167110_902,422316_405_167134_561
-76.74173508293337,39.17711184275078,-76.74215207663943,39.17719483969336,30907102019,422279_962_167707_63
-76.75815908149212,39.146339834393245,-76.75758308800384,39.146594829771054,31108102506,420955_644_164306_948
-76.75062708311529,39.17757383911282,-76.750892078782,39.17722983432014,421547_552_167747_67,30908202508
-76.76039508635176,39.142069827490886,-76.75991907872302,39.14196183050306,420713_883_163803_97,420755_065_163792_089
-76.74056207800574,39.16399683708449,-76.74043707694088,39.164322834691845,31007102018,31007102019
-76.75001507770789,39.1785308352713,-76.75024307766249,39.17823683674468,421600_142_167854_055,30908202507
-76.75405608772418,39.18318584308934,-76.75438607967781,39.183436843990926,30808402002,421221_001_168397_668
-76.7580220877805,39.14461783325499,-76.75856008832348,39.14492083374534,420918_277_164087_374,420871_68_164120_888
-76.77769709512873,39.15200983497649,-76.77768909278208,39.15198283215543,419215_451_164903_662,31109102006
-76.74758607586705,39.15677983771781,-76.74741308167468,39.15715783256934,421816_696_165439_965,421831_532_165481_969
-76.75768108646584,39.14418083051092,-76.75775908456116,39.14450783492214,420947_884_164038_939,31108302507
-76.7561530871308,39.14785783575376,-76.75679608199881,39.14852782832253,421078_884_164447_488,31108102005
-76.74401408604965,39.17746283918387,-76.74456008484796,39.177563836467804,422118_989_167736_929,30907102505
-76.77638509396235,39.15020283334291,-76.77566409287591,39.14946183542664,419329_348_164703_337,31109102014_37293748
-76.7534780820835,39.18268283974054,-76.75372208753205,39.18290983610327,30808402501,30808402001
-76.73990108411691,39.175421836431696,-76.74007807694359,39.17590684200479,422475_023_167511_353,30907102506
-76.76920708910666,39.14745883499941,-76.7689390861094,39.14787483264514,419950_58_164400_26,419973_63_164446_5
-76.08962788131424,39.36039289773129,-76.08962788175472,39.36034589517031,31109103066,31109103032_5517430
-76.75454007809529,39.15049083144413,-76.75475208157552,39.15080483116764,421217_53_164740_16,421199_111_164774_969
-76.77022609223769,39.14664882785934,-76.76988008171769,39.146603830290886,31109202008,31109202503
-76.74983308286075,39.17877483888447,-76.75001507770789,39.1785308352713,421615_793_167881_186,421600_142_167854_055
