From_node,To_node
411707_187_161377_473,31314202505
31214102015,411307_518_162629_345
411346_96_162618_855,411387_712_162599_597
411204_782_162703_244,31214102517
31214402000,31214402001
411743_927_161328_127,31314202001
31214102504,410715_536_162992_755
411269_802_161612_74,411232_609_161679_961
412378_506_161815_224,412355_702_161854_709
411362_402_161682_145,31314102505
31314202509,411661_414_161747_302
31314102503,411362_402_161682_145
31213302014,412743_527_162066_584
31214102504,410639_826_162972_892
411746_677_161688_48,411742_031_161613_983
410578_653_162878_559,410546_822_162824_564
31215202102,410609_26_163071_653
412286_871_161799_65,31313102033_9981091
31214102514,410858_904_162915_685
31214402003,411542_829_161887_337
411085_939_162797_327,31214102101_4854916
411410_848_161787_011,31314102503
411270_727_162660_376,31214102015
410973_872_162683_381,410857_524_162535_683
411661_414_161747_302,411702_129_161814_858
31314202002,31314202003
411014_375_162841_299,31214102010
31214402503,411547_282_162449_072
31314202004,411707_187_161377_473
31214102005,410812_71_162933_717
31213302503,31213302040
412522_382_161986_078,412609_378_161981_665
31214402506,31214402010
410715_536_162992_755,31214102505
411702_129_161814_858,31214402504
31214102513,410882_541_162891_072
31214102517,411270_727_162660_376
411458_156_161900_536,411433_767_161843_772
31214102001,410807_604_162937_04
31213302085_9981126,412378_506_161815_224
411791_21_161919_676,411849_001_161958_285
31214102505,410768_869_163065_208
31214102015,411346_96_162618_855
31213302014,31213302015
410812_71_162933_717,410832_008_162920_866
410807_604_162937_04,31214102005
31314102503,411450_801_161725_235
31214302509,410973_872_162683_381
411151_239_163087_165,411190_312_163152_274
31213302040,31213302039
31314202001,TIEPOINT_31314202007
31314202003,31314202004
31214102010,31214102503
31214102008,411014_375_162841_299
31314202042,411547_161_161408_876
411171_749_162706_861,411130_661_162658_956
411047_703_162935_485,411098_086_163013_155
PROTDEV_4904635,411171_749_162706_861
410612_905_162932_89,410578_653_162878_559
410634_186_163052_259,31214102504
31314102004,411269_802_161612_74
31214402504,411770_33_161831_057
411387_712_162599_597,31214302501
31214102501,411204_782_162703_244
411750_608_161719_681,411746_677_161688_48
31314202047,31314202002
410546_822_162824_564,410515_508_162771_235
31214102007,31214102008
31214402003,411484_172_161967_848
31114302550,31114302551
411306_551_161553_622,31314102504
411742_031_161613_983,411740_192_161571_906
31214302501,31214402503
31313102033_9981091,412383_704_161808_904
31214102101_4854916,411146_968_162744_681
SOURCE_7773-1,31114303147
31214402010,411569_014_162016_151
31314102505,411313_618_161570_395
410609_26_163071_653,31215202522
412256_81_161835_016,412286_871_161799_65
31214402504,411791_21_161919_676
31214402000,31314202011
411770_33_161831_057,31214402000
410639_826_162972_892,410612_905_162932_89
410882_541_162891_072,31214102007
31214402010,411569_181_162137_934
31214102010,411085_939_162797_327
411547_282_162449_072,31214402506
31214302509,411040_797_162556_919
412383_704_161808_904,31213302085_9981126
31114303132,4932737
410832_008_162920_866,31214102513
411849_001_161958_285,412222_092_161863_049
411564_042_161986_504,31214402003
412306_198_161937_448,31213302503
411484_172_161967_848,411458_156_161900_536
412609_378_161981_665,31213302014
31314202004,411743_924_161329_792
31214102505,31214102001
31213302503,412522_382_161986_078
31114303147,31114303132
31213302015,31213302022
31214102513,31214102514
31314202011,31314202520
31214102501,PROTDEV_4904635
411433_767_161843_772,411410_848_161787_011
411313_618_161570_395,411306_551_161553_622
31214102503,411049_406_162830_469
411049_406_162830_469,411047_703_162935_485
412222_092_161863_049,412256_81_161835_016
31314202505,31314202042
411569_014_162016_151,411564_042_161986_504
411232_609_161679_961,411205_161697_018
411542_829_161887_337,31314202510
411130_661_162658_956,31214302509
411098_086_163013_155,411151_239_163087_165
411146_968_162744_681,31214102501
412355_702_161854_709,412306_198_161937_448
31215202522,410634_186_163052_259
31314102504,31314102004
31314202510,31314202509
31314202520,411750_608_161719_681
411740_192_161571_906,31314202047
31314202520,411750_127_161752_207
411743_924_161329_792,411743_927_161328_127
31314202047,411685_91_161555_618
31213302064,412530_811_162178_145
31213302048_LEG1,31213302048_LEG1_sec_0
411840_63_161889_444,411840_63_161889_444_sec_0
31314202001,411656_088_161313_565
411307_518_162629_345,411258_485_162453_873
31213302051,412308_618_162270_936
411204_082_162039_715,411204_082_162039_715_sec_0
412506_218_162037_341,31213302064
412451_347_162342_986,PROTDEV_10174392
PROTDEV_10174512,TIEPOINT_10173607
410857_524_162535_683,410825_991_162516_99
411750_127_161752_207,411831_909_161765_651
410769_701_162835_522,410769_701_162835_522_sec_0
412444_68_162348_748,TIEPOINT_10173442
31213302047_LEG1,PROTDEV_10173622
411837_195_161642_878,411837_195_161642_878_sec_0
31214102007,410757_317_162659_77
412234_431_162047_683,412122_045_162144_758
410591_395_162725_932,31215202015
410976_642_163177_84,410976_642_163177_84_sec_0
412536_51_162183_261,PROTDEV_10174527
31213302072,31213302020
412385_711_161466_875,412385_711_161466_875_sec_0
PROTDEV_10173432,PROTDEV_10173432_sec_0
411965_523_161755_861,411965_523_161755_861_sec_0
31214402001,411996_666_161861_038
31314202047,31314202049
31213302044,31313102018_LEG2
31213302017_LEG1,31213302017_LEG1_sec_0
410515_508_162771_235,410475_444_162730_44
31213302017_LEG3,31213302051
31214402506,31214402007
411458_886_162588_377,411458_886_162588_377_sec_0
31215202015,410466_461_162658_713
411261_327_162219_527,411261_327_162219_527_sec_0
410879_192_163125_529,31214102526_LEG3
31213302020,31213302018_LEG1
31213302047_LEG3,31213302063
412658_446_162064_56,PROTDEV_10173792
410957_666_163208_121,31214102526_LEG2
31313102018_LEG2,31313102018_LEG2_sec_0
412444_68_162348_748,PROTDEV_10174382
411422_864_162566_122,411422_864_162566_122_sec_0
411258_485_162453_873,411258_485_162453_873_sec_0
412315_099_162273_61,31213302016_LEG3
PROTDEV_10173617,31213302047_LEG2
31215202014,410591_395_162725_932
412451_347_162342_986,412449_962_162344_094
411205_161697_018,411224_196_161758_546
412070_504_161639_79,412070_504_161639_79_sec_0
411417_873_162071_549,411417_873_162071_549_sec_0
PROTDEV_10173802,31213302066_LEG2
31214102526_LEG3,410877_64_163122_64
411306_402_162684_295,411306_402_162684_295_sec_0
31215202102,410582_307_163055_186
411361_869_162593_01,411361_869_162593_01_sec_0
31213302016_LEG1,PROTDEV_10173447
PROTDEV_10174522,412534_003_162182_813
PROTDEV_10174367,31213302018_LEG3
4932737,411070_585_163757_353
410869_983_163785_715,410909_457_163621_802
31213302018_LEG4-1,412463_119_162334_567
31213302047_LEG2,31213302046_LEG1
31213302060,31213302048_LEG1
31213302066_LEG3,412649_636_162112_504
410825_991_162516_99,410825_991_162516_99_sec_0
31213302016_LEG3,PROTDEV_10174377
412538_407_162186_15,PROTDEV_10173627
PROTDEV_10173452,31213302017_LEG2
411216_239_161942_484,411216_239_161942_484_sec_0
31213302018_LEG2,31213302017_LEG1
31213302052,412445_975_162350_082
412353_967_161582_279,412353_967_161582_279_sec_0
412649_636_162112_504,31213302074
31214402001,412422_247_161494_02
PROTDEV_10173797,31213302066_LEG4
31214102014,411284_979_162972_567
412539_529_162187_595,PROTDEV_10174537
31213302066_LEG1,PROTDEV_10173807
410519_935_162628_033,31215202039
31213302066_LEG4,31213302078
411482_935_162045_111,411482_935_162045_111_sec_0
411389_595_162732_483,31214102012
31213302048_LEG4,31213302055
31213302046_LEG1,31213302046_LEG1_sec_0
31314202048,411797_342_161520_037
410899_696_163115_566,410880_833_163126_863
411229_154_163014_672,31214102013
410879_97_163125_197,410880_833_163126_863
412660_087_162065_451,412658_446_162064_56
410879_192_163125_529,410879_97_163125_197
PROTDEV_10173437,412458_445_162338_001
411755_957_161553_613,411755_957_161553_613_sec_0
31214102008,410875_966_162768_504
412512_79_162037_018,31213302046_LEG3
412539_529_162187_595,412538_407_162186_15
410909_457_163621_802,31114302550
412533_404_162178_593,PROTDEV_10174517
412534_003_162182_813,412512_79_162037_018
412530_811_162178_145,PROTDEV_10174512
411381_158_161448_156,411374_59_161445_038
410878_413_163125_972,410877_807_163126_304
PROTDEV_10173622,412536_51_162183_261
411487_631_162442_769,411487_631_162442_769_sec_0
31213302039,412234_431_162047_683
31314102505,411341_306_161679_339
411114_436_162453_336,411114_436_162453_336_sec_0
PROTDEV_10173632,412539_529_162187_595
