From_node,To_node
411040_797_162556_919,411007_328_162500_588
412536_51_162183_261,412535_474_162181_816
412172_012_161535_593,412172_012_161535_593_sec_0
411804_032_161729_974,411804_032_161729_974_sec_0
PROTDEV_10174527,31213302047_LEG3
411750_127_161752_207,411804_032_161729_974
31214402007,411727_29_162340_1
410466_461_162658_713,410466_461_162658_713_sec_0
411326_526_162819_871,411326_526_162819_871_sec_0
411216_396_162379_767,411216_396_162379_767_sec_0
412308_618_162270_936,31213302052
31213302074,31213302060
411471_209_162200_846,411471_209_162200_846_sec_0
412458_445_162338_001,PROTDEV_10174372
PROTDEV_10174392,412452_555_162344_32
410475_444_162730_44,31215202014
412538_407_162186_15,PROTDEV_10174532
31214102526_LEG2,410878_413_163125_972
31314202048,411912_691_161410_418
412449_962_162344_094,PROTDEV_10174387
31214102001,410732_71_162889_202
412356_217_161636_457,412356_217_161636_457_sec_0
411007_328_162500_588,411007_328_162500_588_sec_0
31314202042,411610_761_161440_497
411307_518_162629_345,411361_869_162593_01
PROTDEV_10174382,412445_975_162350_082
31314202002,411628_362_161526_336
411351_296_162308_911,411351_296_162308_911_sec_0
31314202002,31314202048
410757_317_162659_77,410757_317_162659_77_sec_0
31213302018_LEG3,31213302032
31213302066_LEG2,31213302072
412422_247_161494_02,412422_247_161494_02_sec_0
412535_474_162181_816,PROTDEV_10173617
31214102513,410769_701_162835_522
411569_181_162137_934,411492_778_162114_509
411569_181_162137_934,411280_829_162125_749
412457_146_162339_331,PROTDEV_10173432
31214402001,411840_63_161889_444
411070_585_163757_353,411038_271_163806_487
31213302032,412468_057_162329_135
31314202049,411849_391_161525_777
411404_897_162853_288,411404_897_162853_288_sec_0
31213302017_LEG2,31213302016_LEG1
411373_871_162424_398,411373_871_162424_398_sec_0
31213302048_LEG3-1,412544_968_162193_044
31213302022,31213302071
410934_341_163070_542,410934_341_163070_542_sec_0
PROTDEV_10173457,412451_347_162342_986
411197_38_162558_139,411197_38_162558_139_sec_0
412658_446_162064_56,PROTDEV_10173802
412457_146_162339_331,PROTDEV_10174367
410952_38_162406_928,410952_38_162406_928_sec_0
411911_425_161905_758,411911_425_161905_758_sec_0
31214102517,411275_702_162809_807
PROTDEV_10173627,31213302048_LEG2
411685_91_161555_618,411685_91_161555_618_sec_0
410858_904_162915_685,410878_003_162984_318
411284_979_162972_567,411284_979_162972_567_sec_0
412449_962_162344_094,PROTDEV_10173452
410879_97_163125_197,410880_49_163124_865
411194_128_162168_143,411194_128_162168_143_sec_0
411912_691_161410_418,411912_691_161410_418_sec_0
410863_166_162394_26,410863_166_162394_26_sec_0
411280_829_162125_749,411280_829_162125_749_sec_0
31213302071,31213302066_LEG1
PROTDEV_10173792,31213302066_LEG3
410953_325_163283_937,410953_325_163283_937_sec_0
31215202102,410703_692_163247_293
412533_404_162178_593,TIEPOINT_10173607
PROTDEV_10174537,31213302048_LEG3
411796_744_161456_87,411796_744_161456_87_sec_0
412535_474_162181_816,PROTDEV_10174522
31214302501,411422_864_162566_122
31214102012,411326_526_162819_871
411364_641_162889_643,31214102014
31213302046_LEG3,PROTDEV_10174517
PROTDEV_10174377,TIEPOINT_10173442
411266_214_162551_354,411266_214_162551_354_sec_0
31314102004,411305_363_161538_412
411900_644_161772_748,411900_644_161772_748_sec_0
410878_413_163125_972,410879_192_163125_529
31213302063,412506_218_162037_341
412294_131_161579_521,412294_131_161579_521_sec_0
31114302551,31215202102
PROTDEV_10173807,412660_087_162065_451
PROTDEV_10173447,412444_68_162348_748
412458_445_162338_001,412457_146_162339_331
411038_271_163806_487,410994_672_163826_63
412452_555_162344_32,412315_099_162273_61
411213_223_162483_005,411213_223_162483_005_sec_0
410858_904_162915_685,410976_642_163177_84
PROTDEV_10173612,412533_404_162178_593
PROTDEV_10174532,31213302048_LEG4
411307_518_162629_345,411266_214_162551_354
411797_342_161520_037,411797_342_161520_037_sec_0
31213302018_LEG1,31213302018_LEG1_sec_0
411479_261_162668_78,411479_261_162668_78_sec_0
411750_127_161752_207,412353_967_161582_279
410814_995_162464_798,410814_995_162464_798_sec_0
411935_434_161867_828,411935_434_161867_828_sec_0
410878_003_162984_318,410878_003_162984_318_sec_0
412660_087_162065_451,PROTDEV_10173797
31314202003,411796_744_161456_87
410994_672_163826_63,410869_983_163785_715
411492_778_162114_509,411492_778_162114_509_sec_0
PROTDEV_10174387,31213302017_LEG3
31213302048_LEG2,31213302047_LEG1
PROTDEV_10174372,31213302018_LEG4
31214102013,411404_897_162853_288
411996_666_161861_038,411996_666_161861_038_sec_0
411305_363_161538_412,411381_158_161448_156
411831_909_161765_651,411831_909_161765_651_sec_0
412055_757_161840_701,412055_757_161840_701_sec_0
31314202049,411755_957_161553_613
31213302078,31213302044
411740_192_161571_906,411740_192_161571_906-1
411190_312_163152_274,411190_312_163152_274-1
411547_161_161408_876,411547_161_161408_876-1
31213302048_LEG3,31213302048_LEG3-1
410515_508_162771_235,410515_508_162771_235-1
410973_872_162683_381,410973_872_162683_381-1
31213302039,31213302039-1
410882_541_162891_072,410882_541_162891_072-1
31213302018_LEG4,31213302018_LEG4-1
410857_524_162535_683,410857_524_162535_683-1
411410_848_161787_011,411410_848_161787_011-1
411204_782_162703_244,411204_782_162703_244-1
411746_677_161688_48,411746_677_161688_48-1
411770_33_161831_057,411770_33_161831_057-1
31214102001,31214102001-1
411151_239_163087_165,411151_239_163087_165-1
411040_797_162556_919,411040_797_162556_919-1
411387_712_162599_597,411387_712_162599_597-1
410546_822_162824_564,410546_822_162824_564-1
410715_536_162992_755,410715_536_162992_755-1
411205_161697_018,411205_161697_018-1
411146_968_162744_681,411146_968_162744_681-1
31314202003,31314202003-1
411130_661_162658_956,411130_661_162658_956-1
411098_086_163013_155,411098_086_163013_155-1
411270_727_162660_376,411270_727_162660_376-1
411750_608_161719_681,411750_608_161719_681-1
411742_031_161613_983,411742_031_161613_983-1
411458_156_161900_536,411458_156_161900_536-1
31314202001,31314202001-1
411269_802_161612_74,411269_802_161612_74-1
31213302040,31213302040-1
31214102008,31214102008-1
410634_186_163052_259,410634_186_163052_259-1
411047_703_162935_485,411047_703_162935_485-1
410832_008_162920_866,410832_008_162920_866-1
411450_801_161725_235,411450_801_161725_235-1
411433_767_161843_772,411433_767_161843_772-1
410578_653_162878_559,410578_653_162878_559-1
410768_869_163065_208,410768_869_163065_208-1
31314202042,31314202042-1
411085_939_162797_327,411085_939_162797_327-1
411313_618_161570_395,411313_618_161570_395-1
412522_382_161986_078,412522_382_161986_078-1
31213302048_LEG1_sec_0,PROTDEV_10173632
411840_63_161889_444_sec_0,411911_425_161905_758
411204_082_162039_715_sec_0,411216_239_161942_484
410769_701_162835_522_sec_0,410741_619_162758_773
411837_195_161642_878_sec_0,412001_892_161552_095
410976_642_163177_84_sec_0,410953_325_163283_937
411174_589_162288_899_sec_0,411351_296_162308_911
412385_711_161466_875_sec_0,412459_259_161439_015
PROTDEV_10173432_sec_0,31213302018_LEG2
411965_523_161755_861_sec_0,411714_376_161719_516
31213302017_LEG1_sec_0,PROTDEV_10173457
411458_886_162588_377_sec_0,411479_261_162668_78
411261_327_162219_527_sec_0,411194_128_162168_143
411422_864_162566_122_sec_0,411458_886_162588_377
410953_175_162333_105_sec_0,410910_084_162292_636
411258_485_162453_873_sec_0,411373_871_162424_398
412070_504_161639_79_sec_0,412026_117_161600_756
411417_873_162071_549_sec_0,411471_209_162200_846
411306_402_162684_295_sec_0,411389_595_162732_483
411361_869_162593_01_sec_0,411306_402_162684_295
410825_991_162516_99_sec_0,410814_995_162464_798
411216_239_161942_484_sec_0,411223_062_161887_542
412353_967_161582_279_sec_0,412294_131_161579_521
411849_391_161525_777_sec_0,411837_195_161642_878
411482_935_162045_111_sec_0,411417_873_162071_549
411463_636_162294_864_sec_0,411474_769_162368_815
31213302046_LEG1_sec_0,PROTDEV_10173612
411755_957_161553_613_sec_0,411885_268_161589_886
411885_268_161589_886_sec_0,411879_783_161556_573
411487_631_162442_769_sec_0,411474_769_162368_815
411114_436_162453_336_sec_0,411216_396_162379_767
411804_032_161729_974_sec_0,411714_376_161719_516
410466_461_162658_713_sec_0,410519_935_162628_033
411326_526_162819_871_sec_0,411364_641_162889_643
411216_396_162379_767_sec_0,411174_589_162288_899
411471_209_162200_846_sec_0,411463_636_162294_864
412356_217_161636_457_sec_0,412172_012_161535_593
411007_328_162500_588_sec_0,410952_38_162406_928
411351_296_162308_911_sec_0,411261_327_162219_527
410757_317_162659_77_sec_0,410812_874_162687_933
412422_247_161494_02_sec_0,412385_711_161466_875
411373_871_162424_398_sec_0,411487_631_162442_769
410934_341_163070_542_sec_0,410899_696_163115_566
411197_38_162558_139_sec_0,411213_223_162483_005
410812_874_162687_933_sec_0,410875_966_162768_504
410952_38_162406_928_sec_0,410953_175_162333_105
411911_425_161905_758_sec_0,411935_434_161867_828
411685_91_161555_618_sec_0,411612_034_161574_381
411284_979_162972_567_sec_0,411229_154_163014_672
411194_128_162168_143_sec_0,411223_062_161887_542
411912_691_161410_418_sec_0,411879_783_161556_573
410863_166_162394_26_sec_0,410910_084_162292_636
411280_829_162125_749_sec_0,411204_082_162039_715
412026_117_161600_756_sec_0,412459_259_161439_015
410953_325_163283_937_sec_0,410957_666_163208_121
411796_744_161456_87_sec_0,411796_284_161417_792
411266_214_162551_354_sec_0,411197_38_162558_139
411900_644_161772_748_sec_0,412070_504_161639_79
412294_131_161579_521_sec_0,412356_217_161636_457
411213_223_162483_005_sec_0,411114_436_162453_336
411797_342_161520_037_sec_0,412001_892_161552_095
31213302018_LEG1_sec_0,PROTDEV_10173437
411479_261_162668_78_sec_0,411421_673_162791_256
410814_995_162464_798_sec_0,410863_166_162394_26
411935_434_161867_828_sec_0,412139_224_161600_818
410878_003_162984_318_sec_0,410934_341_163070_542
411492_778_162114_509_sec_0,411482_935_162045_111
411996_666_161861_038_sec_0,412055_757_161840_701
411831_909_161765_651_sec_0,411900_644_161772_748
411190_312_163152_274-1,31214100006-XFO
411151_239_163087_165-1,31214100035-XFO
31213302039-1,31213300003-XFO
31314202001-1,31314200007-XFO
412055_757_161840_701,31214400019-XFO
410769_701_162835_522,31214100022-XFO
410875_966_162768_504,31214100015-XFO
411433_767_161843_772-1,31214400020-XFO
411471_209_162200_846,31214400010-XFO
410857_524_162535_683-1,31214300004-XFO
31213302040-1,31213300002-XFO
412026_117_161600_756,31314200038-XFO
31214102001-1,31214100019-XFO
411450_801_161725_235-1,31314200011-XFO
411482_935_162045_111,31214400008-XFO
411849_391_161525_777,31314200070-XFO
411750_608_161719_681-1,31314200001-XFO
410973_872_162683_381-1,31214100009-XFO
412070_504_161639_79,31314200037-XFO
411612_034_161574_381,31314200067-XFO
411373_871_162424_398,31214300027-XFO
31314202003-1,31314200003-XFO
412353_967_161582_279,31313100037-XFO
410582_307_163055_186,31215200045-XFO
410715_536_162992_755-1,31214100002-XFO
410863_166_162394_26,31214300017-XFO
411610_761_161440_497,31314200065-XFO
411197_38_162558_139,31214300009-XFO
411266_214_162551_354,31214300006-XFO
411831_909_161765_651,31314200032-XFO
412315_099_162273_61,31213300006-XFO
411463_636_162294_864,31214400011-XFO
411837_195_161642_878,31314200072-XFO
31314202042-1,31314200004-XFO
411879_783_161556_573,31314200071-XFO
410812_874_162687_933,31214100031-XFO
412001_892_161552_095,31314200074-XFO
411422_864_162566_122,31214300008-XFO
412172_012_161535_593,31314200042-XFO
411204_782_162703_244-1,31214100034-XFO
410519_935_162628_033,31215200030-XFO
411389_595_162732_483,31214100018-XFO
411224_196_161758_546,31314100009-XFO
411410_848_161787_011-1,31314100005-XFO
410578_653_162878_559-1,31215200015-XFO
411361_869_162593_01,31214300007-XFO
410466_461_162658_713,31215200021-XFO
411085_939_162797_327-1,31214100013-XFO
412122_045_162144_758,31214400004-XFO
410515_508_162771_235-1,31215200016-XFO
410976_642_163177_84,31214100028-XFO
411223_062_161887_542,31214300030-XFO
411487_631_162442_769,31214400013-XFO
411458_886_162588_377,31214400006-XFO
411996_666_161861_038,31214400018-XFO
411417_873_162071_549,31214300026-XFO
411547_161_161408_876-1,31314200013-XFO
411479_261_162668_78,31214200002-XFO
411326_526_162819_871,31214100023-XFO
411280_829_162125_749,31214300025-XFO
411685_91_161555_618,31314200066-XFO
410953_325_163283_937,31214100029-XFO
410768_869_163065_208-1,31214100012-XFO
411885_268_161589_886,31314200073-XFO
411656_088_161313_565,31314200016-XFO
411174_589_162288_899,31214300021-XFO
411306_402_162684_295,31214100017-XFO
411205_161697_018-1,31314100004-XFO
411098_086_163013_155-1,31214100010-XFO
411797_342_161520_037,31314200069-XFO
410814_995_162464_798,31214300016-XFO
31214102008-1,31214100004-XFO
411261_327_162219_527,31214300023-XFO
410910_084_162292_636,31214300020-XFO
411204_082_162039_715,31214300028-XFO
411900_644_161772_748,31314200033-XFO
410732_71_162889_202,31214100001-XFO
411213_223_162483_005,31214300014-XFO
411194_128_162168_143,31214300024-XFO
411755_957_161553_613,31314200068-XFO
411911_425_161905_758,31214400016-XFO
411364_641_162889_643,31214100024-XFO
411341_306_161679_339,31314100006-XFO
411796_284_161417_792,31314200040-XFO
410703_692_163247_293,31214100039-XFO
411216_239_161942_484,31214300029-XFO
411130_661_162658_956-1,31214100008-XFO
411804_032_161729_974,31314200043-XFO
411727_29_162340_1,31214400001-XFO
411770_33_161831_057-1,31214400007-XFO
411351_296_162308_911,31214300022-XFO
411714_376_161719_516,31314200031-XFO
411229_154_163014_672,31214100040-XFO
412422_247_161494_02,31313100038-XFO
412506_218_162037_341,31213300016-XFO
411935_434_161867_828,31214400017-XFO
411796_744_161456_87,31314200041-XFO
411007_328_162500_588,31214300011-XFO
412468_057_162329_135,31213300011-XFO
410741_619_162758_773,31214100036-XFO
411040_797_162556_919-1,31214300001-XFO
411912_691_161410_418,31314200075-XFO
411047_703_162935_485-1,31214100005-XFO
411458_156_161900_536-1,31214400002-XFO
411269_802_161612_74-1,31314100008-XFO
411740_192_161571_906-1,31314200002-XFO
411628_362_161526_336,31314200023-XFO
411216_396_162379_767,31214300013-XFO
411258_485_162453_873,31214300015-XFO
411492_778_162114_509,31214400009-XFO
411421_673_162791_256,31214100021-XFO
410825_991_162516_99,31214300010-XFO
411270_727_162660_376-1,31214100016-XFO
410952_38_162406_928,31214300018-XFO
410475_444_162730_44,31215200004-XFO
410546_822_162824_564-1,31215200034-XFO
412139_224_161600_818,31314200035-XFO
412385_711_161466_875,31313100039-XFO
412512_79_162037_018,31213300015-XFO
412356_217_161636_457,31313100036-XFO
411840_63_161889_444,31214400015-XFO
411374_59_161445_038,31314100003-XFO
411146_968_162744_681-1,31214100007-XFO
410953_175_162333_105,31214300019-XFO
411114_436_162453_336,31214300012-XFO
410634_186_163052_259-1,31214100037-XFO
411275_702_162809_807,31214100033-XFO
412308_618_162270_936,31213300014-XFO
410957_666_163208_121,31214100030-XFO
411474_769_162368_815,31214400012-XFO
410899_696_163115_566,31214100027-XFO
411404_897_162853_288,31214100020-XFO
410591_395_162725_932,31215200041-XFO
412294_131_161579_521,31313100035-XFO
410882_541_162891_072-1,31214100014-XFO
410757_317_162659_77,31214100032-XFO
411965_523_161755_861,31314200034-XFO
410878_003_162984_318,31214100025-XFO
410934_341_163070_542,31214100026-XFO
412459_259_161439_015,31313100040-XFO
411284_979_162972_567,31214100038-XFO
411742_031_161613_983-1,31314200022-XFO
411313_618_161570_395-1,31314100002-XFO
SOURCE_7773,SOURCE_7773-1
