se_lon,se_lat,re_lon,re_lat,se_busID,re_busID
-76.86462112058298,39.120378823608654,-76.86500511620025,39.12043782723136,411707_187_161377_473,31314202505
-76.86921012271236,39.13174982334275,-76.86922211819787,39.13166082945046,31214102015,411307_518_162629_345
-76.86876611652714,39.131565826681495,-76.8682951112935,39.13139182381096,411346_96_162618_855,411387_712_162599_597
-76.87040912323242,39.132327824188266,-76.87007212302207,39.13215982272202,411204_782_162703_244,31214102517
-76.86390911473003,39.124144823801934,-76.86396711650269,39.12412982085569,31214402000,31214402001
-76.86419711146378,39.11993382681038,-76.86420511184308,39.11939581827764,411743_927_161328_127,31314202001
-76.87656511955919,39.13523182882434,-76.8760631251145,39.13494182983551,31214102504,410715_536_162992_755
-76.86967511716645,39.12250382504816,-76.8701041204012,39.12310982417338,411269_802_161612_74,411232_609_161679_961
-76.85685011231749,39.12431282587218,-76.85711311552987,39.12466882532108,412378_506_161815_224,412355_702_161854_709
-76.86860311193962,39.12312782426554,-76.8688191158936,39.1227618213506,411362_402_161682_145,31314102505
-76.86549911837737,39.12301682034015,-76.86514411775401,39.12371082556802,31314202509,411661_414_161747_302
-76.86831912008537,39.12361782575205,-76.86860311193962,39.12312782426554,31314102503,411362_402_161682_145
-76.85304610648265,39.12660182721508,-76.85262411744829,39.126571823383806,31213302014,412743_527_162066_584
-76.87656511955919,39.13523182882434,-76.87693911781979,39.13476382857712,31214102504,410639_826_162972_892
-76.8641591102499,39.12317982290451,-76.86421411970838,39.12250882195959,411746_677_161688_48,411742_031_161613_983
-76.87764812238677,39.13391482715088,-76.87801711779383,39.13342882929216,410578_653_162878_559,410546_822_162824_564
-76.87728311676725,39.13568482494197,-76.87729111639757,39.1356538280838,31215202102,410609_26_163071_653
-76.85791010990536,39.12417382611781,-76.85756411746465,39.12384682323641,412286_871_161799_65,31313102033_9981091
-76.87439712159775,39.13419182306096,-76.87440611721837,39.13424582614572,31214102514,410858_904_162915_685
-76.86633311138719,39.12556682304921,-76.8665131201578,39.12497381954139,31214402003,411542_829_161887_337
-76.87178211560337,39.13317682619026,-76.87144611261587,39.13294582842511,411085_939_162797_327,31214102101_4854916
-76.86804111218136,39.12407181949231,-76.86831912008537,39.12361782575205,411410_848_161787_011,31314102503
-76.86964712102842,39.13194082768848,-76.86921012271236,39.13174982334275,411270_727_162660_376,31214102015
-76.87308011384506,39.13215182248168,-76.87442812420163,39.130822822354666,410973_872_162683_381,410857_524_162535_683
-76.86514411775401,39.12371082556802,-76.86467211303832,39.124318821882994,411661_414_161747_302,411702_129_161814_858
-76.86422611016293,39.12155882201409,-76.86421712076172,39.120900826177525,31314202002,31314202003
-76.8726091145166,39.133573824061145,-76.87221511883267,39.13341782846532,411014_375_162841_299,31214102010
-76.86660711767318,39.130657822954845,-76.86645211934983,39.13003382059723,31214402503,411547_282_162449_072
-76.86423411706312,39.12032082413175,-76.86462112058298,39.120378823608654,31314202004,411707_187_161377_473
-76.8749701184916,39.13442382197309,-76.87494011896823,39.13440882782325,31214102005,410812_71_162933_717
-76.85741410995573,39.126207828733975,-76.85788310826376,39.12629082097987,31213302503,31213302040
-76.85518311726605,39.1258498203056,-76.85417710778175,39.12580882091878,412522_382_161986_078,412609_378_161981_665
-76.86626711602173,39.12880482025308,-76.86613611733233,39.12720682594984,31214402506,31214402010
-76.87220411936066,39.1334758274628,-76.87220911816509,39.13344882717587,411049_406_162830_469,31214102503
-76.8760631251145,39.13494182983551,-76.87583411549203,39.13482082738157,410715_536_162992_755,31214102505
-76.86467211303832,39.124318821882994,-76.86401411943034,39.12494982302668,411702_129_161814_858,31214402504
-76.87442712198256,39.13415382378405,-76.87413312026388,39.13402382148883,31214102513,410882_541_162891_072
-76.87007212302207,39.13215982272202,-76.86964712102842,39.13194082768848,31214102517,411270_727_162660_376
-76.86749211273603,39.12509382624654,-76.86777511443213,39.1245828193013,411458_156_161900_536,411433_767_161843_772
-76.85262411744829,39.126571823383806,-76.85211211301035,39.12651682456544,412743_527_162066_584,TIEPOINT_31213302510
-76.87730511796825,39.135636826794645,-76.87763612043689,39.13580782768043,31215202522,TIEPOINT_31215202517
-76.87535412023084,39.13461982880208,-76.87499912331884,39.13443882406237,31214102001,410807_604_162937_04
-76.85682311714667,39.1242858231232,-76.85685011231749,39.12431282587218,31213302085_9981126,412378_506_161815_224
-76.86364012082153,39.12526181979183,-76.86297111490082,39.12560882695162,411791_21_161919_676,411849_001_161958_285
-76.87583411549203,39.13482082738157,-76.87544511737906,39.13559382509704,31214102505,410768_869_163065_208
-76.86921012271236,39.13174982334275,-76.86876611652714,39.131565826681495,31214102015,411346_96_162618_855
-76.85304610648265,39.12660182721508,-76.85308510797547,39.12666682332675,31213302014,31213302015
-76.87494011896823,39.13440882782325,-76.87471711857414,39.134292828971134,410812_71_162933_717,410832_008_162920_866
-76.87499912331884,39.13443882406237,-76.8749701184916,39.13442382197309,410807_604_162937_04,31214102005
-76.86831912008537,39.12361782575205,-76.86758011161186,39.12351482503394,31314102503,411450_801_161725_235
-76.87177912337302,39.131481820593415,-76.87308011384506,39.13215182248168,31214302509,410973_872_162683_381
-76.87102212017196,39.135786828580166,-76.87056911789699,39.13637282539417,411151_239_163087_165,411190_312_163152_274
-76.85788310826376,39.12629082097987,-76.85830611160405,39.1263808269782,31213302040,31213302039
-76.86420511184308,39.11939581827764,-76.8642081139343,39.11914382434284,31314202001,TIEPOINT_31314202007
-76.86421712076172,39.120900826177525,-76.86423411706312,39.12032082413175,31314202003,31314202004
-76.87221511883267,39.13341782846532,-76.87220911816509,39.13344882717587,31214102010,31214102503
-76.87304012097384,39.133698826144325,-76.8726091145166,39.133573824061145,31214102008,411014_375_162841_299
-76.86576111776532,39.12056182526528,-76.86647111548703,39.12066382264948,31314202042,411547_161_161408_876
-76.87079111884535,39.13236082754753,-76.87126711815239,39.13192982685469,411171_749_162706_861,411130_661_162658_956
-76.87222211623228,39.134421822438185,-76.87163811353237,39.13512082909647,411047_703_162935_485,411098_086_163013_155
-76.87069197361939,39.132400353062806,-76.87079111884535,39.13236082754753,PROTDEV_4904635,411171_749_162706_861
-76.87725111496023,39.134403821122696,-76.87764812238677,39.13391482715088,410612_905_162932_89,410578_653_162878_559
-76.8770031146603,39.13547882679121,-76.87656511955919,39.13523182882434,410634_186_163052_259,31214102504
-76.87494011896823,39.13440882782325,-76.8749701184916,39.13442382197309,410812_71_162933_717,31214102005
-76.86959912132322,39.122305827005775,-76.86967511716645,39.12250382504816,31314102004,411269_802_161612_74
-76.86401411943034,39.12494982302668,-76.86388311990532,39.12446382779995,31214402504,411770_33_161831_057
-76.8682951112935,39.13139182381096,-76.86779211495295,39.13120682932303,411387_712_162599_597,31214302501
